#Iter	Time	Change
0	0.02	1.521171e+03
1	0.01	7.687072e+02
2	0.01	5.720681e+02
3	0.01	5.078591e+02
4	0.01	4.448148e+02
5	0.01	4.015637e+02
6	0.01	3.562938e+02
7	0.01	3.192984e+02
8	0.01	2.831607e+02
9	0.01	2.529142e+02
10	0.01	2.242967e+02
11	0.01	2.001250e+02
12	0.01	1.775850e+02
13	0.01	1.584439e+02
14	0.01	1.407182e+02
15	0.01	1.256043e+02
16	0.01	1.116601e+02
17	0.01	9.973398e+01
18	0.01	8.874226e+01
19	0.01	7.932487e+01
20	0.01	7.064309e+01
21	0.01	6.319979e+01
22	0.01	5.633115e+01
23	0.01	5.044076e+01
24	0.01	4.499812e+01
25	0.01	4.033097e+01
26	0.01	3.601141e+01
27	0.01	3.230903e+01
28	0.01	2.887566e+01
29	0.01	2.593489e+01
30	0.01	2.320196e+01
31	0.01	2.086305e+01
32	0.01	1.868420e+01
33	0.01	1.682147e+01
34	0.01	1.508159e+01
35	0.01	1.359600e+01
36	0.01	1.220423e+01
37	0.01	1.101763e+01
38	0.01	9.902192e+00
39	0.01	8.952880e+00
40	0.01	8.057259e+00
41	0.01	7.296482e+00
42	0.01	6.576001e+00
43	0.01	5.965183e+00
44	0.01	5.384334e+00
45	0.01	4.892920e+00
46	0.01	4.423580e+00
47	0.01	4.027381e+00
48	0.01	3.647260e+00
49	0.01	3.327097e+00
50	0.01	3.018474e+00
51	0.01	2.759135e+00
52	0.01	2.507922e+00
53	0.01	2.297306e+00
54	0.01	2.092279e+00
55	0.01	1.920759e+00
56	0.01	1.752953e+00
57	0.01	1.612869e+00
58	0.01	1.475128e+00
59	0.01	1.360369e+00
60	0.01	1.246967e+00
61	0.01	1.152657e+00
62	0.01	1.059007e+00
63	0.01	9.812462e-01
64	0.01	9.036601e-01
65	0.01	8.393253e-01
66	0.01	7.748405e-01
67	0.01	7.214270e-01
68	0.01	6.676538e-01
69	0.01	6.231436e-01
70	0.01	5.781525e-01
71	0.01	5.409232e-01
72	0.01	5.031521e-01
73	0.01	4.718942e-01
74	0.01	4.400757e-01
75	0.01	4.137297e-01
76	0.01	3.868333e-01
77	0.01	3.645403e-01
78	0.01	3.417255e-01
79	0.01	3.227872e-01
80	0.01	3.033674e-01
81	0.01	2.872149e-01
82	0.01	2.706271e-01
83	0.01	2.567954e-01
84	0.01	2.425772e-01
85	0.01	2.306854e-01
86	0.01	2.184558e-01
87	0.01	2.081908e-01
88	0.01	1.976352e-01
89	0.01	1.887392e-01
90	0.01	1.795966e-01
91	0.01	1.718566e-01
92	0.01	1.639105e-01
93	0.01	1.571497e-01
94	0.01	1.502197e-01
95	0.01	1.442912e-01
96	0.01	1.382266e-01
97	0.01	1.330079e-01
98	0.01	1.276823e-01
99	0.01	1.230707e-01
100	0.01	1.183781e-01
101	0.01	1.142878e-01
102	0.01	1.101387e-01
103	0.01	1.064973e-01
104	0.01	1.028162e-01
105	0.01	9.956253e-02
106	0.01	9.628557e-02
107	0.01	9.336786e-02
108	0.01	9.044078e-02
109	0.01	8.781511e-02
110	0.01	8.519171e-02
111	0.01	8.282067e-02
112	0.01	8.046155e-02
113	0.01	7.831316e-02
114	0.01	7.618462e-02
115	0.01	7.423150e-02
116	0.01	7.230464e-02
117	0.01	7.052329e-02
118	0.01	6.877329e-02
119	0.01	6.714344e-02
120	0.01	6.554892e-02
121	0.01	6.405309e-02
122	0.01	6.259560e-02
123	0.01	6.121866e-02
124	0.01	5.988224e-02
125	0.01	5.861105e-02
126	0.01	5.738188e-02
127	0.01	5.620502e-02
128	0.01	5.507108e-02
129	0.01	5.397858e-02
130	0.01	5.292942e-02
131	0.01	5.191258e-02
132	0.01	5.093910e-02
133	0.01	4.999028e-02
134	0.01	4.908451e-02
135	0.01	4.819702e-02
136	0.01	4.735200e-02
137	0.01	4.651994e-02
138	0.01	4.572955e-02
139	0.01	4.494773e-02
140	0.01	4.420660e-02
141	0.01	4.347042e-02
142	0.01	4.277383e-02
143	0.01	4.207921e-02
144	0.01	4.142300e-02
145	0.01	4.076633e-02
146	0.01	4.014680e-02
147	0.01	3.952487e-02
148	0.01	3.893877e-02
149	0.01	3.834871e-02
150	0.01	3.779313e-02
151	0.01	3.723238e-02
152	0.01	3.670475e-02
153	0.01	3.617101e-02
154	0.01	3.566905e-02
155	0.01	3.516027e-02
156	0.01	3.468192e-02
157	0.01	3.419625e-02
158	0.01	3.373968e-02
159	0.01	3.327545e-02
160	0.01	3.283902e-02
161	0.01	3.239473e-02
162	0.01	3.197697e-02
163	0.01	3.155125e-02
164	0.01	3.115083e-02
165	0.01	3.074245e-02
166	0.01	3.035819e-02
167	0.01	2.996602e-02
168	0.01	2.959682e-02
169	0.01	2.921985e-02
170	0.01	2.886473e-02
171	0.01	2.850202e-02
172	0.01	2.816010e-02
173	0.01	2.781081e-02
174	0.01	2.748128e-02
175	0.01	2.714461e-02
176	0.01	2.682674e-02
177	0.01	2.650198e-02
178	0.01	2.619508e-02
179	0.01	2.588159e-02
180	0.01	2.558505e-02
181	0.01	2.528221e-02
182	0.01	2.499547e-02
183	0.01	2.470271e-02
184	0.01	2.442525e-02
185	0.01	2.414206e-02
186	0.01	2.387340e-02
187	0.01	2.359930e-02
188	0.01	2.333900e-02
189	0.01	2.307355e-02
190	0.01	2.282119e-02
191	0.01	2.256398e-02
192	0.01	2.231918e-02
193	0.01	2.206982e-02
194	0.01	2.183225e-02
195	0.01	2.159037e-02
196	0.01	2.135968e-02
197	0.01	2.112496e-02
198	0.01	2.090086e-02
199	0.01	2.067298e-02
200	0.01	2.045518e-02
201	0.01	2.023384e-02
202	0.01	2.002208e-02
203	0.01	1.980701e-02
204	0.01	1.960104e-02
205	0.01	1.939198e-02
206	0.01	1.919155e-02
207	0.01	1.898826e-02
208	0.01	1.879317e-02
209	0.02	1.859542e-02
210	0.01	1.840545e-02
211	0.01	1.821302e-02
212	0.01	1.802798e-02
213	0.01	1.784067e-02
214	0.01	1.766038e-02
215	0.01	1.747799e-02
216	0.01	1.730227e-02
217	0.01	1.712462e-02
218	0.01	1.695332e-02
219	0.01	1.678023e-02
220	0.01	1.661318e-02
221	0.01	1.644450e-02
222	0.01	1.628155e-02
223	0.01	1.611712e-02
224	0.01	1.595814e-02
225	0.01	1.579781e-02
226	0.01	1.564266e-02
227	0.01	1.548629e-02
228	0.01	1.533485e-02
229	0.01	1.518230e-02
230	0.01	1.503444e-02
231	0.01	1.488559e-02
232	0.01	1.474120e-02
233	0.01	1.459593e-02
234	0.01	1.445490e-02
235	0.01	1.431309e-02
236	0.01	1.417532e-02
237	0.01	1.403685e-02
238	0.01	1.390224e-02
239	0.01	1.376701e-02
240	0.01	1.363546e-02
241	0.01	1.350337e-02
242	0.01	1.337479e-02
243	0.01	1.324575e-02
244	0.01	1.312005e-02
245	0.01	1.299396e-02
246	0.01	1.287106e-02
247	0.01	1.274783e-02
248	0.01	1.262764e-02
249	0.01	1.250719e-02
250	0.01	1.238964e-02
251	0.01	1.227189e-02
252	0.01	1.215690e-02
253	0.01	1.204176e-02
254	0.01	1.192927e-02
255	0.01	1.181668e-02
256	0.01	1.170661e-02
257	0.01	1.159648e-02
258	0.01	1.148877e-02
259	0.01	1.138104e-02
260	0.01	1.127562e-02
261	0.01	1.117023e-02
262	0.01	1.106704e-02
263	0.01	1.096392e-02
264	0.01	1.086290e-02
265	0.01	1.076199e-02
266	0.01	1.066309e-02
267	0.01	1.056432e-02
268	0.01	1.046748e-02
269	0.01	1.037080e-02
270	0.02	1.027597e-02
271	0.01	1.018132e-02
272	0.01	1.008845e-02
273	0.01	9.995779e-03
274	0.01	9.904811e-03
275	0.01	9.814073e-03
276	0.01	9.724963e-03
